id,city,region,country,country_code,air_quality,water_pollution
3323,Jackson,Tennessee,United States of America,840,96.875,12.5
3324,Nikaia,Attica Region,Greece,300,33.33333333,0
3325,Eden Prairie,Minnesota,United States of America,840,91.66666667,8.333333333
3326,Clovis,New Mexico,United States of America,840,0,100
3327,Fond du Lac,Wisconsin,United States of America,840,75,75
3328,Vernon,British Columbia,Canada,124,72.5,54.16666667
3329,Lloydminster,Alberta,Canada,124,60.71428571,27.77777778
3330,Konstancin-Jeziorna,Masovian Voivodeship,Poland,616,35,45.83333333
3331,Chrudim,,Czech Republic,203,100,50
3332,Litvinov,,Czech Republic,203,62.5,50
3333,Trinec,,Czech Republic,203,50,50
3334,New Port Richey,Florida,United States of America,840,50,0
3335,Jupiter,Florida,United States of America,840,100,25
3336,Jacksonville,North Carolina,United States of America,840,100,0
3337,Lousada,Porto,Portugal,620,75,50
3338,Lebanon,Ohio,United States of America,840,100,50
3339,Miri,Sarawak,Malaysia,458,75,57.14285714
3340,Swords,,Ireland,372,50,0
3341,Malahide,,Ireland,372,75,25
3342,Slidell,Louisiana,United States of America,840,50,100
3343,Torrington,Wyoming,United States of America,840,90,75
3344,Longmont,Colorado,United States of America,840,0,75
3345,East Orange,New Jersey,United States of America,840,100,75
3346,Polaniec,Swietokrzyskie Voivodeship,Poland,616,50,50
3347,Sao Bras de Alportel,,Portugal,620,100,50
3348,Foster City,California,United States of America,840,100,0
3349,Statesboro,Georgia,United States of America,840,75,41.66666667
3350,DeLand,Florida,United States of America,840,81.25,25
3351,Stockton-on-Tees,England,United Kingdom,826,100,50
3352,Encamp,Encamp,Andorra,20,50,25
3353,Grand Junction,Colorado,United States of America,840,85.41666667,18.75
3354,Vanderbijlpark,Gauteng,South Africa,710,11.66666667,89.58333333
3355,North Platte,Nebraska,United States of America,840,100,25
3356,Playa del Carmen,Quintana Roo,Mexico,484,87.5,62.5
3357,Troy,Michigan,United States of America,840,62.5,25
3358,Sakai,Fukui Prefecture,Japan,392,75,50
3359,Maia,Porto,Portugal,620,89.28571429,0
3360,Seixal,Setubal,Portugal,620,37.5,50
3361,Weston,Florida,United States of America,840,100,0
3362,Portoviejo,Manabi Province,Ecuador,218,62.5,50
